"Dim.1" "Dim.2" "Dim.3" "Dim.4" "Dim.5" "Dim.6" "Dim.7" "Dim.8" "Dim.9" "Dim.10" "Dim.11" "Dim.12" "Dim.13" "Dim.14" "Dim.15" "Dim.16" "Dim.17" "Dim.18" "Dim.19" "Dim.20" "Dim.21" "Dim.22" "Dim.23" "Dim.24" "Dim.25" "Dim.26" "Dim.27" "Dim.28" "Dim.29" "Dim.30" "Dim.31" "Dim.32" "Dim.33" "Dim.34" "Dim.35" "Dim.36" "Dim.37" "Dim.38" "Dim.39" "Dim.40" "Dim.41" "Dim.42" "Dim.43" "Dim.44" "Dim.45" "Dim.46" "Dim.47" "Dim.48" "Dim.49" "Dim.50" "Dim.51" "Dim.52" "Dim.53" "Dim.54" "Dim.55" "Dim.56" "Dim.57" "Dim.58" "Dim.59" "Dim.60" "Dim.61" "Dim.62" "Dim.63" "Dim.64"
"chords_strength" 0.00158615664356051 0.231827625190664 0.1551193924134 8.60260654690379 0.00550960461598677 2.45685914153214 1.19358432370072 7.51474456406465 0.326590189029302 1.91684777780248 1.72857538618691 0.0611845159272515 0.707826769210543 2.66584645312337 4.00980035376459 1.79393214247245 0.0635171022571356 5.26775281319478 0.699437263352616 2.35115275321601 8.00280242380987 0.0471514319060485 5.84512793761416 1.38868201251015 0.253949075744198 0.0286413639109599 0.344527994548701 2.98690573984067 5.79499877199719 10.2036135081241 5.01213076371098 0.249917602121169 1.41555376279319 0.74602218646723 0.00517653950723449 2.07059859606294 0.289701996323944 4.58854765446139 1.12601450805665 0.459432540337973 3.15299938052328 0.095042625777174 0.0760969153806801 0.0180736515518431 1.05814520168127 0.571981376089703 1.54470777990173 0.00673344934879315 0.390191326478239 0.00512089240947362 0.000319872966187811 0.0987940375852123 0.140740109704984 0.0132288902384842 0.000730028507889498 0.189065501371827 0.00904602283208997 0.00013016881999283 0.00155254391119881 0.00343058018166252 0.00241986646163637 0.00586039991214511 0.00179169333214844 4.00581249872169e-07
"chords_scale" 0.0703458448867293 0.485439130903521 0.0890363634003373 0.714254088326775 0.186872100179797 0.333666119781886 0.225111724721222 3.23499964423688 5.01677635686944 2.07281082280208 5.05154026735013 0.485482012325493 12.9898387660411 1.40342462689206 15.573497592356 3.35942956834307 0.00539272941014933 2.84662547987077 2.69386316686439 0.525647823642088 9.71446275397195 0.372127850857556 9.93041328006543 3.57757886132557 12.7587086308821 3.25179670233642 0.0653283879751105 0.0602364687919241 0.567528878625677 0.861194812133185 0.796455874036077 0.0125235083401719 0.000577781933230981 0.0509006597594714 0.219028455653209 0.000345398172431518 0.173063672110248 0.0425281778535148 0.0364972720081044 0.00107877159763919 5.09300742707635e-06 1.8130714140746e-05 0.00104847030808809 0.0850396629657603 0.00227237677816933 0.000437718810732213 0.000419685876316951 0.00394597102812689 0.0129909951660909 0.00606444953284461 0.000404463345815749 0.0031414232351935 0.00835242571725959 0.000427430630715338 0.00668489977660245 0.0022696051266548 0.00448676346010888 0.00130926398429673 0.00273772433124747 0.000226442516908798 0.000517583350982967 0.000665388685041032 1.53736352316811e-05 8.8230383300914e-05
"hpcp_entropy" 3.29284922799634 0.270677319987257 0.0751913547114468 3.69426189394476 0.143680354070543 0.570827295523396 0.179481395721932 0.0417633878222458 0.319180278653708 0.0173429075271294 0.896648091075101 0.441906730439175 0.745019520391356 0.553187691445912 0.346200164145562 10.0502906703632 0.438800506511097 0.107905868891597 3.25104930285625 1.83986990501942 1.53328898974229 0.525099634463938 0.230908803015277 0.00175251166920723 0.19619880660212 0.32964489766554 4.07744620715782 3.22570281181494 0.472023448591532 5.10658356375127 0.934005026612141 0.0805827473555407 0.258603589644287 1.86531623141526 3.54855533280393 0.0178501824317573 9.03872501649906 0.38691709369842 9.79161437292195 0.0975622613898165 6.30127647110613 1.3769212610823 4.18773839678216 1.14340318384596 0.459952131524736 0.0231301333247402 0.202101026102798 11.4792757275144 1.93785759937426 0.0371008008805635 1.10349499119786 0.171977582899436 0.28841567505264 0.115269668080925 1.39981304793963 0.0695391705186586 0.430408155192255 0.0373635210687611 0.0111803520799619 0.029532857677213 0.0266729629992479 0.103643445029168 0.0694130672958882 3.37508671992114e-06
"bpm_histogram_first_peak_bpm" 0.0232613806392155 0.00681478500053523 0.0296990434372981 0.000575810805846977 26.3122911332821 0.391383517070497 0.128626019242351 0.0162476206393505 0.0769318641872119 0.000144332579381251 0.00593020672198215 0.037704823817831 0.0252968987431906 0.17704607169148 0.853786048774876 0.0120720638975484 0.509858785523638 2.06760945665123 0.156583210830346 1.10036212929829 2.74260781090264 2.62527815869187 1.51320242062801 0.000360876864317626 0.0295328704651984 9.48047667807661 0.0223191805975371 0.00833260922177232 0.514639776008645 1.0791562368311 0.00531370418855889 0.0028188586726497 0.000576083463255021 0.0749857805284192 0.00869137226498544 0.00616690384865718 0.0519224610267575 0.00398949666111521 0.00867297142647784 0.112931815683664 0.0199019874064666 0.165456428183326 0.0574192115067837 0.0718907544196202 0.00437150499368109 0.0886419389681818 0.0427774804795884 0.216955861086269 0.000189745481982412 0.00496017494711863 0.00704783153344917 0.000515358093175892 9.88882461355913 35.5748344503518 1.2835402427256 2.2221105773353 0.0116246256936248 0.00959182296602939 0.00818231760272937 0.000354363448868752 0.00120392466586846 0.0914403664331383 0.0033996196647343 0.000563529567146419
"bpm" 0.017588977589032 0.00838117990163171 0.0341269743172174 0.00628268121566177 26.1449796781078 0.406943572519891 0.143042634810306 0.00741737916327411 0.140072971962413 0.00249207523670641 0.0275644711914038 0.042082567159022 0.00446841740829225 0.288343789479364 0.887021894657548 0.000523646571625855 0.173160410213056 2.95983846235958 0.655482762574101 0.612650290853755 2.73614599862039 3.14354468936294 1.22232769845484 0.00420217795008393 0.000706454145857311 8.66218069743109 0.00467786864013331 0.0431400569347524 0.239562443575938 0.826360637157071 0.00280487638948307 0.0828171962914699 0.00278265934468441 0.00259603113203421 0.00837559773213979 0.171014876825369 0.0067190951697903 0.0859791836188725 0.0526149153301263 1.38832880864672 0.0437643275174537 0.853458811714305 0.175510457685372 0.172519937137756 0.00167441227220783 0.0670629123488801 0.0849976903104418 0.260758975869617 0.0267843083807186 0.0259154059535141 0.00371017155977791 0.0160325044716459 9.19691996956429 33.5602230402034 1.55596133727374 2.59633503708893 0.00309317823123339 0.0103077418490193 0.0283059723683295 1.33295627545554e-07 0.000434984395517292 0.0623603010206212 0.00397802931090963 0.000543560131229649
"bpm_histogram_second_peak_spread" 0.518622572538475 0.0514039468452239 0.084517471652538 1.2959140613208 2.13503284154122 0.848768084211638 1.08054763669708 3.49904177273527 2.82679046514059 0.031017749383754 0.978090087995518 3.0098266421319 0.00341326705408825 4.72304566642118 0.247497069992976 0.847405896406924 5.18823445501436 6.3934923217417 9.59319515887505 48.2972072227374 0.364507820548162 0.413307081778362 0.680808863909859 0.652563228443769 0.0549528836580133 1.84128932136415 0.526917765365258 0.540406107836888 0.471650644805582 0.385102401892028 0.221195016545973 0.351522757159781 0.00111494995788009 0.327078202157759 0.0358639960045431 0.0788034920332797 0.00214221169360047 0.201692836010346 0.293122072948033 0.68961146959091 0.00496738281506957 0.0715088214784871 0.0103476322608684 0.0100151932996554 0.0425586551438231 0.00160663319951459 0.00206736316674834 0.015267619295888 0.00334992731494101 0.00703250343198163 0.00089412958704961 0.0257449022769859 0.00748595462752182 3.45038356500227e-06 0.00592481934651241 0.0017917893498511 2.25308731948619e-06 0.0017755888349428 0.00012558745961001 0.000548917358261537 1.58355399358601e-05 2.06377796623088e-05 4.69954527167816e-06 0.000222189274583725
"bpm_histogram_first_peak_weight" 1.85641654868167 0.859486926114097 0.526028142309591 2.35140606276724 1.2297302595048 0.524923983414868 0.178990676429994 1.771696450102 2.17645352688735 2.99657840316449 2.66405750379748 2.29341336476661 1.71964719298253 7.09166601008293 4.10636269294564 1.28816627291594 0.0411312641803373 1.20131545201784 0.0908087207711491 0.799711162638811 2.87078016442224 0.692341714347092 0.545308234226971 0.349414495785641 0.0499053826883168 0.121592315770535 0.00166004332575925 0.0329292060035909 0.813112444471237 0.364605548524211 0.123163219730425 0.625415943558758 0.641921656306083 0.347060660138883 0.00179957463310956 1.22747744299523 0.0154111852723923 7.80081978882086 2.59566353473674 29.9511234282392 1.3422915141704 10.5974308623001 0.48276228043934 0.0293674750935322 0.010651169625118 0.231223476271422 0.0319324478750766 0.0408730253764183 0.599833132306912 0.062084631234729 0.000102616000414748 0.0195280071481833 0.287890259435864 1.15671176480197 0.00366659100285333 0.0121550234897835 0.0966060283749614 0.00690014402383692 0.00402100347398583 0.00436419982854829 0.00920461757537249 0.0307461370633077 0.000152877286221099 4.11532901487542e-06
"onset_rate" 0.982760675293136 1.34448268488605 1.35157763390349 0.242077270027358 0.00875996807070892 0.0371853647832863 1.0867232104699 5.25290759533855 1.89351512461339 0.412732964352895 5.64375786936139 4.21383903975033 0.0954457972044213 5.3760278732845 3.06939531725037 0.900639075426289 0.0749340627415516 1.13858524080786 0.00042044600370928 3.96420286850979 0.237815454053665 3.80627893359162 0.108972039693734 0.00026339622177578 1.55646025451353 0.0794774808755118 1.24948586381287 36.6138177388357 1.97015652650188 0.418547339126935 5.41291888932894 0.0963475573897613 1.58913296794931 0.631065443293548 1.68434616847889 0.0801849400822447 1.07982968731996 0.0840220469482915 0.5590725962986 1.4948341702542 2.81442264430594 0.136268294776942 0.259784133258873 0.0426040129348509 0.0119816308333904 0.21912561454064 0.104169372560927 0.0668252122228603 0.235205564880273 0.00556523826292816 0.036383734588818 0.000346997259697951 0.0282101016092579 0.0405685699210436 0.0690123761058049 0.045383490384637 0.0237951025021141 0.00350814756253743 0.00243820399346259 0.00517810354800937 0.00461711058977989 0.00153821033128729 9.87553545175849e-06 5.86808406201942e-05
"beats_loudness" 0.445577932731153 7.15802918641987 0.715369899242711 0.0861867184874138 0.0276761098453026 0.253793349658042 0.28651886195498 0.421732853253582 0.072211669696896 0.0386126698460561 0.369389677738927 0.201601021258064 0.000304443303213874 0.003775629359313 0.0577783613749494 0.580897934841255 0.04815348609426 0.485026440275471 0.540500022129935 0.0726581380771546 0.570096101396157 0.0382406179627042 0.919119993228582 0.358114625807379 2.52103979716899 0.467438036740392 0.00798105135867091 3.05781945133672 6.43051697502852 0.273653922727427 0.568038126090879 1.84598375799609 11.014425783767 32.1067153725096 7.79321110276324 1.34022801490493 8.30452125614316 0.194234582688335 8.57081485445257 0.00259728033102724 0.0587709595439896 0.00750240822797216 0.112882262837648 0.348565024827759 6.48002913047585e-05 0.358637876224743 0.0762489668100765 0.00349859788350322 0.29811890692656 0.120256513957784 0.09846031769915 0.0882295191350636 0.043100317119449 0.0404455399407448 0.0300915820702365 0.000644425979511087 0.00205415827233583 0.0138973593798966 6.68618259355275e-05 0.0290914817773433 0.00640355546770945 0.00107239208206341 0.0113046703026316 6.39142570200384e-06
"danceability" 1.35519993431579 1.24078856790827 1.81684506779571 0.0621860632667205 0.0647227931449071 0.0048100800655001 0.111888534499874 4.05752871436623 1.42176056110579 2.50614234167754 5.84625836434796 1.83665638834692 0.0158395122711638 3.37303131935788 2.12289484326496 1.22223481102234 0.285613130936933 2.69689995395365 0.0758101652628173 0.00718390275042653 6.36691520656442 0.448616110846209 5.56000830888644 2.94201324070911 3.17601606343037 0.14887154804773 3.7859516808774 19.943627269991 2.33484823596692 0.0342993644928144 0.153736582822009 1.49687206893746 0.392094372081565 5.92343187585622 1.0262455709665 2.06753136745492 1.29205083345606 2.3675637291583 3.31008319239327 0.816471784301802 3.09101321367845 1.42630978990532 0.0440723520060715 0.739697981968946 0.00211258092642844 0.106968382093466 0.0861114731135216 0.00111001632247943 7.74564840336981e-05 0.203600347289858 0.0103915050589067 0.0613014071359409 0.0694544157346358 0.0180698153552334 0.0026406679843981 0.00187849495320336 0.247466337891917 0.0719881305134276 0.0738279626445774 0.0109079589210186 0.000931123181151424 0.00463219075846863 0.0138624947395318 3.04444372063063e-05
