"Dim.1" "Dim.2" "Dim.3" "Dim.4" "Dim.5" "Dim.6" "Dim.7" "Dim.8" "Dim.9" "Dim.10" "Dim.11" "Dim.12" "Dim.13" "Dim.14" "Dim.15" "Dim.16" "Dim.17" "Dim.18" "Dim.19" "Dim.20" "Dim.21" "Dim.22" "Dim.23" "Dim.24" "Dim.25" "Dim.26" "Dim.27" "Dim.28" "Dim.29" "Dim.30" "Dim.31" "Dim.32" "Dim.33" "Dim.34" "Dim.35" "Dim.36" "Dim.37" "Dim.38" "Dim.39" "Dim.40" "Dim.41" "Dim.42" "Dim.43" "Dim.44" "Dim.45" "Dim.46" "Dim.47" "Dim.48" "Dim.49" "Dim.50" "Dim.51" "Dim.52" "Dim.53" "Dim.54" "Dim.55" "Dim.56" "Dim.57" "Dim.58" "Dim.59" "Dim.60" "Dim.61" "Dim.62" "Dim.63" "Dim.64"
"tuning_equal_tempered_deviation" 0.838166377690288 0.792323571641292 5.22803341301786 0.0611452907642676 0.000399598376888553 0.412937008366516 0.336445266627963 10.8773642747341 13.1050703939137 1.64087236913704 0.00264561948884788 0.509434432850519 0.00671321422479531 1.20593703654255 0.130044236586521 0.228700727686223 0.0155887017073932 0.0660435843108763 0.11524801569544 0.0221765783825639 0.235564724259961 0.0140023597461798 0.0777128344173938 0.0152990924732428 4.09043747361649 2.63771236214031 0.268218188418317 0.250235150111655 0.034103578081697 3.63023097841222 0.13220002766558 0.145835168233286 7.02645479310838 0.35844669100988 0.068305382603898 0.0057421439544095 2.02652959782003e-05 0.258222219865913 0.0815253931227489 0.133823804395792 0.00413429813992616 0.0549228232373604 0.561091083634028 0.0213266500414501 1.57830684867463 1.99462299911938 0.336944233220377 5.48260185374378 0.0276575228050016 24.3069396037921 0.957502638371053 5.998887382962 2.57282760333025 0.825513519830883 0.0324744941479941 0.141658137624661 0.01450255728535 0.00304258888972434 0.000810830232594904 0.00955206274888486 0.0115786009766127 0.00154746907685033 0.00210685684730114 6.49985889688748e-05
"chords_changes_rate" 0.458863088224429 0.0631220842422916 9.61554621899506 0.00141332782954952 0.108999746923012 0.0746190035266459 2.23116511431439 0.479622677427578 2.70430723049732 3.46941293092125 0.0307910617171184 1.16744037630883 5.3355994605001 2.48909139953203 0.326561276234619 2.24936425637313 0.199376735173805 0.00170182833031487 1.55675295595272 0.576188200408615 0.460868269527799 0.00810154875739971 12.2929769287577 3.77602111355113 0.632610201731313 2.69255916135071 0.0828808872066587 0.0789006441040696 0.00621577897765121 0.081279349680215 0.727498399152034 0.0749212407329092 21.595086463164 0.612579974583234 0.120782084258593 3.1975554508788 0.364532152916322 9.3832752619428 0.454584665589711 2.03652558476558 0.405588842200342 0.208639879777288 0.38104563650249 0.828553221290611 2.9558116251973 0.0981778461862837 1.49763298046482 0.0463631153552647 0.00703461345711827 0.612996011518271 0.304396941961306 0.0702376576794923 0.163523735153471 0.0706309055785451 0.25801705106424 0.116635935616361 0.0643495197642103 0.0278045805810507 0.00615225315210754 0.0359399169101182 0.00942777009396023 0.0109040754060884 5.4349516973876e-05 0.000387400510739179
"key_key" 0.0266946340727338 0.047488563658065 0.0454814010516442 0.00519806172692441 0.018567460907461 3.56229299309651e-05 0.0310188641028257 0.742837062453164 3.48414119633289 5.07035192317313 32.8812488031109 5.03195665705329 2.43865450227109 0.000414798207558378 0.0144310657409189 0.0633900510832128 0.00635288287045321 0.136929132405557 0.0718692023041919 0.176732248635735 0.000416040968921017 0.0436322764488128 1.73252506160705 0.000310484236699879 1.28141151991127 10.5624317412351 1.62953825413153 31.4514225919909 2.05964503287246 0.196485537632524 0.00066565407716155 0.407775189537687 0.000220527593799375 0.0119631147880564 0.030988127519906 0.000916795513018467 0.0428793412624337 0.0318858126295903 0.00537236247830223 0.00405231135131482 0.14477222372572 1.2577638879729e-06 0.00719997080221573 0.00926622214076 0.00180372884446525 0.00631178188908706 0.000364032843273834 0.00387311299579882 0.000547367709857633 0.0238072985640788 0.000302539567365881 0.0039779013912328 0.000668315452191174 1.8127453614148e-05 0.0052015485762509 1.37313815862738e-05 0.00264738328241549 7.51337867606462e-06 2.29308313152738e-05 7.65323022540895e-05 0.000611825088537518 6.58832476402146e-05 7.94181813626992e-05 2.74407082529602e-05
"tuning_diatonic_strength" 0.0580413457745287 0.193248862503647 7.67502761929622 1.31326738080669 0.0250492210153081 0.0701611710293864 5.38404335640689 10.7176522440931 2.45617946978772 0.0513966220694343 0.0789523215731008 0.583831717989748 0.0490108512377997 0.00127081700880363 1.41484030136071 7.74282460532369 0.303190116425691 0.271485353195302 0.0174708257758457 0.00839614034571 0.816409184784643 0.000340257412051194 10.4693898011842 1.38599471013946 0.185544157356847 1.30375067648144 0.427304160848866 0.0116456484658291 0.0434547472441816 0.101461171589366 0.294296987305539 0.0443022020325768 1.46908290555668 0.441058471041837 2.15161941880943 0.0248970762755474 0.00302520625817494 1.06189968060429 1.73634903834668 2.77877508024526 30.7184793678058 0.914224340149198 0.170247907515241 2.40975359429268 2.03141005373686 0.00891688511579867 0.000345806647581973 0.164832381490925 0.0300139658443533 0.0398927948454637 0.146244122511222 0.0318721646775686 0.000476281078223477 0.021898534631676 0.0726816722024908 0.0571840991957647 0.00343749504743272 0.0064365762860874 0.000729383598263421 1.962678636842e-06 0.00339440982468336 0.00139004969284473 7.50672768113671e-05 0.000120158852207427
"key_scale" 0.0523187437061922 0.244941240151758 2.18014877938509 0.307246930268872 0.00901105531084543 0.0939379965412513 2.20868315942888 3.95013790762936 1.11292976731549 0.528680824071521 0.978096721517325 12.0737613191459 12.5157933451614 0.11494032650485 0.0549105659495153 11.2425251332642 0.190086248825018 0.166097527370259 0.0214117603825657 0.144613107247044 0.0328134764578373 1.5191116258371 0.924964681342943 2.5446891426159 4.40596208281049 26.7055168760391 5.08917511102447 8.90022473215657 0.00778232752485035 0.984491782910504 0.019174084993166 0.0155095373243993 0.090984854374565 0.00269524924986018 0.000502303537220805 0.00644828274778424 0.0390550735917355 0.0189653575457967 0.000368369009859199 0.0496865293996991 0.330291667401072 2.74187053729396e-06 0.0226891897051042 0.00851195331677579 0.0240228403251252 0.000553397580518574 0.00569914319769496 0.026962783310603 0.0106589566867952 0.000395073278506619 0.00919450150002153 0.000180307759738445 0.00284538759870353 0.00277236582505904 0.000686368839694562 0.000786333336491445 0.00327708381442168 0.000630821217770179 0.000156022223952305 0.000575635079790314 0.000256420149573281 0.000339832658755145 0.000116892297094323 3.41355010602357e-07
"chords_number_rate" 0.0721528464875789 0.18662858198575 2.22252269961158 0.0929518361345178 0.334007403095771 0.640063104909956 0.216417171701903 1.64831394142206 4.76445054156379 12.1056543084099 5.99231910914556 3.45568453148209 8.62141471106201 0.630814117479756 2.06267337978447 0.00501812014495981 0.260885307896754 4.8608423697332 3.45812513911281 0.0371766904620407 0.0293896517764578 0.495868816087675 0.498858155193147 0.00751746095185116 1.80720023282214e-05 0.0468698472529481 13.1589674676677 1.46389230113164 0.547374329138896 27.2408699964203 0.252188443368466 0.407589659302005 0.966387319952715 0.984037904012939 0.897571384327747 0.00787528548240379 0.0440771629337907 0.0641011501570473 0.0286388459345051 2.35795286277067e-05 0.470513604613015 0.469272511832819 0.121558023050859 0.0129986544656475 0.0349029665704948 0.000122893097136683 0.0179184347100525 0.00058074738288058 0.00791669045303455 2.97666930108769e-05 0.0012923375504561 0.0117801128515818 0.00230430811424936 0.000415223141236666 0.000372311501178899 1.38861451309153e-05 0.00109559501177094 0.027839906567434 0.000638257451499742 0.000198222956493151 0.00575799176891399 0.0020652653291031 0.000179302233625967 2.42258863874546e-07
"tuning_frequency" 0.559314097858382 0.756811747345982 0.398207189669568 0.00294010926679423 0.000178639111516687 1.30017603112501 0.443268795742883 2.10494653750469 9.41210642321535 0.00847503033821555 0.0393656422342994 1.0832050666801 0.00697288648758286 0.264738087009697 0.740532873350648 17.7435990620231 0.0932256320255945 5.06049773572808 0.731723861915137 15.5475939604336 2.49339968595024 0.442526706637849 0.00490217721749118 0.523624090593677 17.7269788723178 12.6677947463586 0.157828443098966 1.34709397522288 0.227097971969074 2.95510791315792 0.278944282086791 0.952600749235233 3.01753492518941 0.0697743574756446 0.00945661420790506 0.156492771113894 0.00807624602960288 0.180851179468506 0.0388729049408601 0.0809770837365988 0.159967268924947 0.0253865982419922 0.0128190003923236 0.000218799559640064 0.00315632013432437 0.00108010319494573 0.00441515842743835 0.00539577586169042 0.0129271147501859 0.00680137868608992 0.00681753310893318 0.0340310476105102 0.0631662639663261 0.00464520495664985 0.00134974368384756 0.00135979304307331 0.00708882429190724 0.00972896705936914 0.000428310882407455 1.84784651109025e-05 0.000115153297999052 0.000715084144309916 0.000541287542198933 1.1684698678854e-05
"tuning_nontempered_energy_ratio" 1.2357937032028 0.457753736530412 4.10971444536081 0.233461994071145 0.00510617928415692 0.128039856790023 0.335359864406287 11.6304781364735 13.4453146487931 1.84268670671152 0.00424867956842091 0.792343646160574 0.0482691606733506 2.74636255446152 0.0263537673676285 0.0504102540938213 0.0620647283762456 0.010652512453367 0.0432266032443416 0.0737361303819925 0.241707303442997 0.0320891647702144 0.0553170347255345 0.0494759116786575 3.49554482143925 2.86487366282132 0.233276480372795 0.134354703575584 0.0385848514392475 1.98367639978072 0.00323503454281663 0.0965852548423208 0.434809825779656 0.269943040306209 0.0723865701911454 0.0224986496909743 0.0252067860602185 0.956015844206594 0.00672809136311231 0.54802917512576 0.275473616855332 0.0115702684566405 0.670950668558379 0.0399278841262469 0.64345584394916 1.85155062728481 0.596942280548777 6.44265591640229 0.0931526630325051 26.6769345597585 1.60461218516713 6.9237462244647 3.59810365887672 1.42505129878805 0.00432955609500128 0.231439221466828 0.00743794438872854 0.0194639123871326 0.00857242405671618 0.0162247136667426 0.0111236244338231 0.000712529148304753 0.000538899362954847 0.000313564164396024
"key_strength" 0.165134802581594 0.491647108275209 11.3525446658331 0.862688880870505 0.0867258774225288 0.164018049758268 4.73287845896107 2.15208678401975 0.816816356003993 0.182669564382726 0.039846299046471 0.361694011235232 0.296066721851649 0.291689249267372 0.453903302188317 2.19800753712385 0.698162774926079 0.909660065669342 0.0481892645756985 1.64040291010627 1.61769532756702 7.96127755526416e-05 11.620530008094 1.63696415392561 0.00706475531751565 4.98764250865061 1.61568857292211 0.000578153514365401 0.230235372813517 0.0734141295892305 0.66425051249901 0.0751668056524246 7.20374575192805 0.647982495221935 3.64060997631986 0.0339881007475393 0.13693944877335 0.0113632175928368 0.985209442241995 2.08047110923427 29.2495354064256 0.939600044247771 0.340604990687868 2.15056863514405 1.48062093856988 0.0186100921361689 0.00552778797708748 0.225692000551345 0.018447607229802 0.0121250877165424 0.0739906340863979 0.053133451202689 0.0329661424821387 0.0386358362006465 0.106313348946296 0.0334956892257091 2.19735185063835e-05 0.00346535645083029 0.000236691235787291 1.68880048091888e-05 0.000171628655728781 0.000343579427916993 0.00132875013751516 9.53002589998709e-05
"chords_key" 0.00179576264555181 0.00428635234803091 0.00556262649727707 0.00111277842504769 0.00720991750655041 0.0374670329673126 0.019600249849266 1.13420351953509 3.51621371880692 3.78203629637354 36.5356144571385 2.3789013323543 2.49278277104728 0.00783489794823782 0.149008606669956 0.00859987193048589 0.0775710576717125 0.192832350800585 0.0740282082964162 0.00543216243580999 0.041099936136952 0.00421424464711943 1.1462061619551 0.0898265679487043 0.947519860078321 11.1939168831697 2.29785290757326 31.4951641631364 1.91111068925589 0.00183166856635912 0.0136264076396221 0.297464052537661 0.0312051957130741 0.00470683255584369 0.00495353994110163 9.48596622959658e-05 0.0112439841830224 1.61153684290883e-05 0.00430234019489359 0.000587910600466001 0.0169899741777654 0.00422871891718212 0.00159538941010072 0.00143529165668638 6.92854797450164e-05 0.0095361796666018 0.000319635232612265 0.000808634276685497 0.00159270744353525 0.013412631554505 0.00371654827614712 0.00117045105883676 0.00131825293933496 0.00798861202201506 0.00245817954725711 0.000812063799543866 0.00191642855655562 0.000320111058468066 0.000299224852494356 5.57933782090117e-05 0.000152798780446943 0.000423524875618825 0.00034125939100437 1.15366320056261e-08
