"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24" "PC25" "PC26" "PC27" "PC28" "PC29" "PC30" "PC31" "PC32" "PC33" "PC34" "PC35" "PC36" "PC37" "PC38" "PC39" "PC40" "PC41" "PC42" "PC43" "PC44" "PC45" "PC46" "PC47" "PC48" "PC49" "PC50" "PC51" "PC52" "PC53" "PC54" "PC55" "PC56" "PC57" "PC58" "PC59" "PC60" "PC61" "PC62" "PC63" "PC64"
"chords_strength" -0.000790213900885517 -0.0549610958918257 0.273935863781681 0.0814455005420496 0.0258892877349776 0.0247216012991232 -0.206059373577001 -0.179573164993426 0.266389541391441 0.0198088171578213 -0.0360146366477747 -0.111447616322627 -0.169076542239472 -0.00127155732246803 -0.0115175649427203 0.237398948063948 -0.0157900997789557 0.0741933814511092 0.0423174263881624 0.119496131148479 -0.107898558359115 0.0228111304565745 -0.375884614179681 -0.167174193663151 -0.0678597783685574 0.145204210882462 0.0939396702199664 -0.0463903837604859 0.0326543138566999 -0.236936837419892 0.191616327863059 0.137100711038615 -0.424097393400436 0.000788762528378315 0.0153133694438924 0.0911554222653727 -0.0265850486419246 -0.170763716578678 0.094485673974449 -0.110721716125727 -0.151671370857436 0.00974361467120725 0.0034469985004757 0.0655743052469723 -0.148709062678173 0.00670357493031246 0.106584472189497 0.0319492977682039 0.00981284593371694 -0.0765287403827578 -0.0309080282374978 -0.00548295620084342 0.0569543132168239 0.032041192839094 0.0385322697967539 -0.0371029814782239 0.0271249490698066 -0.0111758778282854 -0.00756622971678149 0.0100476430358318 -0.00568028902271864 -0.00506851963832828 -0.000242260682512985 -0.000538197580278689
"chords_scale" -0.0171494310489709 -0.0438452905298962 0.102894017763017 0.0147261260775941 -0.000624130614037544 0.0507345452769144 -0.176315193105546 -0.18779145278974 -0.0576136977568309 -0.136905986821506 0.130466573396274 0.412145893435962 0.346358410455121 0.0831015259452657 0.0676870732858185 -0.245146357603195 -0.0295110391356372 0.140351819946326 0.0382230065334866 0.140268976926582 -0.11777852747096 0.141331028388205 -0.266919873980721 -0.25891240553691 0.212508957260262 -0.345005630372095 -0.197804088262884 0.303580259558544 0.0216274170035526 0.0606658956006246 0.025310259942125 0.0434281423308057 0.0124154192213579 -0.00769184024937672 -0.0186250255596662 0.00716416085304496 0.00378693682988737 -0.0127306152216701 -0.0023625767056814 -0.00646129731785629 0.0128074480694441 0.000119658513970944 0.0112110404324591 0.00300451205986763 0.00680619632871032 0.00460342175005665 -0.00254207563371024 -0.0147381319070121 0.00207042111926158 -0.00783478458477846 0.00125953595060386 0.000277113641540386 -0.00493656956201752 -0.00467160024758401 0.000317574120458214 -0.000162186230268285 0.00134249274136917 -0.00499095586750277 0.00112786077726853 -0.000777346837026432 0.000716878222543446 -0.000784171830771247 0.00115122568374149 0.000862295903916044
"hpcp_entropy" 0.187865100481185 0.0189265021699652 -0.155929108644752 -0.078832858865781 -0.0182133645378831 0.00462143675680962 0.0688256901848138 -0.0253565256731888 0.135663658046902 -0.112716493978347 0.043349818948917 0.0742457838003864 0.122431739076237 0.000626243517563241 -0.0549991937053011 0.187838597351126 -0.0664970012986318 0.332738060133482 0.0151028385156866 -0.0230144572806577 0.0305475957327769 0.0633200547200728 -0.0211247334420648 0.132692008238429 -0.0886107720575482 -0.0476620683948789 0.0985908615054903 0.0189996922211689 0.0564517920226183 -0.193108820619258 -0.0583836304753166 0.0862754263759801 -0.062669573906292 0.16191839491762 -0.13941697466868 -0.118814889737134 -0.107288867234331 0.258855203781077 -0.0523862914816573 0.208408455761269 -0.158710912417772 0.364339687447224 -0.0861056589809893 0.110560556520841 0.256501929104554 0.0991182145042363 0.0770559553217142 -0.0756195950007388 -0.00368558399103759 0.0973992625468369 -0.302481740865241 -0.170959057620099 0.107138444933364 -0.0427880329113683 -0.154388834237714 -0.0221218369713358 -0.0481199741728865 0.0121379044438413 0.00477625263596441 0.0318275992299395 -0.0181313098203282 0.0267007658867773 -0.0150417899320687 -0.00070558253497221
"bpm_histogram_first_peak_bpm" -0.0050633719215146 -0.0299553701160606 -0.00196711141856248 -0.167842461110006 0.488009856761131 -0.0171616013786466 -0.000443825890245997 -0.0262758408377203 -0.0164812922440678 -0.0341713310882618 0.0117429726990479 0.00145701865968106 0.0377406537699937 -0.0260788642143952 -0.0348324941817043 0.0367969488823374 -0.0438667724326805 -0.127857855047672 0.129329387064511 0.114029695644893 0.0415745528147612 -0.112728679011204 -0.136397990381735 0.163220442823392 -0.106636102374804 -0.0632037342327655 -0.0762775047032392 -0.0525813844381715 0.275617309987803 0.114940531026484 -0.00857840602688661 -0.00686004452692059 0.00424436357088523 0.0164832006557402 0.0120830360316697 0.018508116078143 0.0100323929617823 -3.16974073976545e-05 0.0146718046543918 0.017546527819882 -0.00344008945732458 0.00260129677132718 0.00527868785074485 -0.00132131702834305 0.0068939354854785 0.00319652306555408 0.0134927870954553 -0.0119905014648163 -0.00342048178833373 -0.00158012016825768 -0.00872555427761718 0.00347232002319338 -0.00324849821641016 0.00670924081872744 0.0107888958968319 -0.00686597574096268 0.011663025977384 -0.23539959864853 0.668093340644107 -0.0107375442724646 -0.0167091017356458 0.0116533199796929 -0.000709593259368355 0.000390667262685102
"bpm" -0.00226606466372681 -0.0294051178454911 0.00222067824567402 -0.166899449686004 0.487137294838106 -0.0203251752409875 0.000747626140495838 -0.0303690110860908 -0.0190247505358922 -0.0317892702808253 0.0129085312273126 0.00155818349049516 0.0417267236589828 -0.0257337328297277 -0.0372606462579432 0.0371817405073508 -0.0445891189916773 -0.133124662710421 0.133318993616965 0.107974175361076 0.0190470540181601 -0.12557456282518 -0.143848924775826 0.17778380092623 -0.0995755975949187 -0.0670714696900276 -0.0739136184165701 -0.0460857185679919 0.263603347495819 0.111811271553236 -0.00786340674661832 -0.0137925896959727 0.00920097424202969 0.016548764664222 0.0120142443679708 0.0213096715826399 0.00566792169354615 -0.00451831233100702 0.0150676155638484 0.0471695261298451 0.0136135257857152 0.0118491780949298 0.0430391093178747 0.0837857780695856 -0.00146052300629283 -0.0122658948398981 -0.0185298007292382 0.000427245899334294 1.43745047121125e-05 0.00076974402293889 0.0106412253778412 0.00797235539124791 0.00255641424357682 -0.00514943167945138 -0.00750323010825354 0.00286861655904883 -0.00805189821401478 0.229201730147388 -0.661512027410853 0.00903793228695771 0.0181889358208317 -0.0073132320399252 0.00256634636263306 -7.26725059475471e-05
"bpm_histogram_second_peak_spread" -0.0661755131150409 -0.0152942713795216 -0.0800245897056834 -0.0109033846324962 -0.194681415895951 0.114617237035607 -0.0527506979914906 0.174045654560792 0.200573404818594 -0.0385222744960585 0.13609336881035 0.0234231279400631 0.0754446277039801 -0.0717160355717597 -0.123949892742068 -0.0347052412632363 -0.0880736084154936 -0.210791817685236 0.254201643330453 0.457670672243371 0.624038367222232 0.0517280143404012 -0.100315958374558 0.00070894305762747 -0.112332541057467 -0.00158032917415754 0.0633417602765043 0.0533840477064626 -0.224187847430444 -0.018895902728046 0.0145489474734098 -0.0267462039539167 0.0492040108997646 0.00146489444522369 0.0101985237672392 0.0386241374458999 -0.00529800960493601 -0.0337779109479978 0.0230124606731778 0.0443797355971321 0.0169542380633044 0.0158925582597465 0.0527375645973681 0.0752504366302654 -0.0103910054690729 -0.0110558299700231 -0.0100424234921811 -0.00122225978068541 0.00296159337912753 -0.00214169098480485 -0.0050972337870304 -0.000530938883203821 0.00109758195109014 -0.00469631861732714 -0.00376540486353635 0.000504066014562765 -0.00280395185010641 0.00320734404182549 -0.000361227450436152 0.000803330654999018 -0.00145489325791087 0.000151834687336413 0.000377413134273683 0.000826246839062104
"bpm_histogram_first_peak_weight" 0.140990889063275 0.0834768842338844 0.116512943592501 0.14383739457274 -0.0353181338560154 -0.154499122790552 0.0624650668203591 -0.183112783158963 -0.155203561525818 0.184012102897866 -0.0737327627099274 -0.140560857708766 -0.063633234402446 0.140821817227908 0.224533137267805 -0.148843004403186 -0.00543746819888384 0.200745374355899 0.0313117809617877 0.108745677708845 0.0811735929790875 -0.0682439367892488 -0.0218080078580871 0.205131031108193 0.0622742396657735 -0.000816416895249091 -0.0677868147033433 0.0395443300851839 -0.0618273757854866 -0.0263795582906269 0.0266752218988481 -0.03224904524409 0.0186336561807696 0.0128523527732643 0.0655350778572733 0.0459168692651999 -0.0143406218546185 -0.0899175533639881 0.0959511784265594 0.211332661486801 0.104907558015907 0.0785839250279395 0.338908444465504 0.575297295177249 0.0060979778717565 -0.0967831811937702 -0.144956793847291 0.048604730470151 0.000611786385390581 -0.0434652840461574 0.00716224848113271 0.0343687478128145 -0.0126113820011831 0.000947248662567582 -0.0320354776637398 0.00702283843594878 -0.000560717792067983 0.00398050721482716 0.063915391260003 0.00831582175843534 -0.00377713927718873 0.00956921735036401 0.00230715890536264 -0.00220560414362202
"onset_rate" 0.103593259139526 0.109591576418373 -0.0087820120059644 0.19413521650569 0.0442675222112673 -0.113476784700618 0.105531419192508 -0.172737323684957 -0.249071670852394 0.12976091237249 -0.0255632478326822 -0.0580957568254963 0.203583242475009 -0.0991730984046213 -0.0341383666848808 0.186231488703148 -0.0342461603710079 -0.137556618257835 0.0236367056235725 0.00753266748192492 0.0795850059982515 -0.0773913438718866 -0.0187443764080483 -0.122308386007149 -0.0185394318635541 -0.0500509453250031 0.0943538195705318 0.0227764955906858 0.00556540074120424 -0.118222477070449 0.595276211179243 0.0329418410146654 0.326308789240435 0.225424726737745 -0.0307231516368529 -0.202025464932323 -0.190806464218488 -0.0725193124374585 -0.049526269520382 -0.0914142204355214 0.0178167776394007 -0.0439456432421336 0.00950644061398695 -0.0839170152962119 -0.0353873105005754 0.033466020501265 0.0916357897651732 -0.0115079306487532 0.0262548652585024 0.0503548007912812 -0.053679151806869 -0.0378301867299574 0.0336586873225872 -0.0364426564376785 0.0320166723565541 -0.02063199805726 -0.000935271785485192 -0.0109652070748384 -0.0105082626250207 -0.00165504554724763 0.00757786693293683 0.00227095592011731 -0.00536891772422786 0.00165182058543233
"beats_loudness" 0.0943522150496408 0.229767100013747 0.0608421535895943 -0.0788459415303632 -0.0405938833736136 0.0677248645591524 0.00806462462703049 -0.0629093056675984 -0.050540169111857 0.0773780472621742 0.0122647650384434 -0.0725996112279982 0.110334741937335 0.0225384418858648 0.150169108570777 0.111642731365349 0.0102007696832283 -0.15235285199542 -0.0215051868367866 0.0756264187197127 -0.0998685104647942 0.0477271654152729 -0.0354416141061906 -0.0908900655321941 -0.228560965148912 0.0187684409798628 -0.141911332416842 -0.0660828332112847 -0.154049058117746 0.140902651471403 -0.357032589855874 0.254328491894101 -0.0245691917809211 0.179799691781655 -0.313893795562623 -0.115940485148757 -0.129713678447886 -0.339266728593496 -0.373295144407817 0.196867888384014 -0.0596430879062066 -0.121248296644338 0.0674716920461194 -0.0359390197116326 -0.0411120128038111 0.0643131987247193 0.0217848977566676 0.0472035844650007 0.0455815206952837 -0.0180495479102497 -0.012456661478399 0.0288623124384265 0.0211464230012104 -0.015926598813301 -0.0152047516618815 0.0137129221628393 0.0099982488253935 0.00807187243283564 0.00528613089732273 -0.00106376262963204 0.00326206799889314 0.00885086736108814 0.00119895327294726 0.000934736088285273
"danceability" 0.117371074250757 0.115237312467347 -0.0239381504278439 0.154336531935396 0.0117766741440149 -0.130594909362393 0.134232653480171 -0.146926745232449 -0.157041281688909 0.187345808341249 0.0322026302920769 -0.0573150743853868 0.245016512945132 -0.0632486231174135 -0.0127133172453021 0.249423637314025 -0.0318500653646032 -0.0673528553257289 0.0748726438387435 0.0613293803108435 -0.0346124714712077 -0.0265197700191592 -0.080471323255405 -0.257757367660249 -0.254790487898567 -0.0161231104681675 0.0243624732485293 0.0141546479779063 -0.0580602144973341 -0.0261128001593496 -0.404612772102007 -0.0310427774676304 0.00646726512947413 -0.295011497507903 0.0759933855435873 0.0347644009844021 0.0968312404709667 0.316400042350437 0.158307315600422 -0.316045336351967 0.118164214910059 0.119457755600561 0.0255132208811061 0.0574431317946669 -0.0935140120725537 0.0158718021740728 0.00669035329401808 -0.00187795197904025 -0.018895559576225 0.0320720229234297 -0.00897040538255668 0.00826054999860232 0.0357318987949622 -0.0152977436915184 0.026007040373046 -0.00629288860635152 0.00553279435442136 -0.0474876604453302 -0.0174888575502144 0.0247379183625051 -0.0110710655819073 0.00492170597148688 7.89958592690432e-05 0.000107805407266438
